4-b-Kopplung-in Phase- Kupfer;4-b-Kopplung-in Phase- Kupfer;4-b-Kopplung-in Phase- Kupfer;4-b-Kopplung-in Phase- Kupfer;4-b-Kopplung-gegen Phase- Kupfer;4-b-Kopplung-gegen Phase- Kupfer;4-b-Kopplung-gegen Phase- Kupfer;4-b-Kopplung-gegen Phase- Kupfer;4-c-Kopplung-Schwebung- Kupfer;4-c-Kopplung-Schwebung- Kupfer;4-c-Kopplung-Schwebung- Kupfer;4-c-Kopplung-Schwebung- Kupfer
0.7;48.93;0.16;-0.42;0.7;42.79;-0.26;-0.22;0.7;38;-0.35;0.54
0.72;49.24;0.15;-0.53;0.72;42.26;-0.27;-0.24;0.72;37.33;-0.33;0.54
0.74;49.53;0.14;-0.64;0.74;41.71;-0.27;0.22;0.74;36.67;-0.32;0.43
0.76;49.79;0.13;-0.65;0.76;41.17;-0.26;0.23;0.76;36.03;-0.31;0.53
0.78;50.04;0.11;-0.54;0.78;40.66;-0.26;-0.11;0.78;35.41;-0.3;0.65
0.8;50.24;0.1;-0.42;0.8;40.12;-0.27;-0.01;0.8;34.82;-0.29;0.65
0.82;50.45;0.1;-0.53;0.82;39.59;-0.26;0.21;0.82;34.25;-0.28;0.65
0.84;50.63;0.08;-0.65;0.84;39.07;-0.26;0.32;0.84;33.72;-0.26;0.64
0.86;50.78;0.07;-0.62;0.86;38.55;-0.25;0.44;0.86;33.2;-0.25;0.76
0.88;50.9;0.06;0.66;0.88;38.07;-0.24;0.32;0.88;32.72;-0.23;0.65
0.9;51.01;0.1;0.6;0.9;37.59;-0.24;0.31;0.9;32.27;-0.22;0.51
0.92;51.29;0.08;-1.84;0.92;37.12;-0.23;0.54;0.92;31.82;-0.21;1.07
0.94;51.34;0.02;-1.79;0.94;36.68;-0.22;0.54;0.94;31.42;-0.18;1.32
0.96;51.38;0.01;-0.66;0.96;36.26;-0.21;0.43;0.96;31.09;-0.16;0.76
0.98;51.38;0;-1.94;0.98;35.85;-0.2;0.53;0.98;30.78;-0.15;0.63
1;51.36;-0.07;-2.01;1;35.47;-0.19;0.65;1;30.49;-0.13;0.97
1.02;51.11;-0.08;0.64;1.02;35.1;-0.17;0.65;1.02;30.25;-0.11;0.97
1.04;51.02;-0.04;0.86;1.04;34.78;-0.16;0.53;1.04;30.04;-0.1;0.86
1.06;50.94;-0.05;-0.65;1.06;34.47;-0.15;0.64;1.06;29.87;-0.08;0.86
1.08;50.82;-0.07;-0.65;1.08;34.17;-0.13;0.75;1.08;29.73;-0.06;0.97
1.1;50.67;-0.08;-0.53;1.1;33.93;-0.12;0.75;1.1;29.62;-0.04;0.97
1.12;50.51;-0.09;-0.65;1.12;33.69;-0.1;0.86;1.12;29.57;-0.02;0.86
1.14;50.31;-0.1;-0.53;1.14;33.51;-0.09;0.86;1.14;29.53;-0.01;0.97
1.16;50.1;-0.11;-0.65;1.16;33.34;-0.07;0.87;1.16;29.55;0.02;0.97
1.18;49.87;-0.13;-0.66;1.18;33.24;-0.05;0.76;1.18;29.6;0.03;0.86
1.2;49.59;-0.14;-0.42;1.2;33.13;-0.04;0.53;1.2;29.68;0.05;0.97
1.22;49.32;-0.15;-0.55;1.22;33.08;-0.03;0.62;1.22;29.8;0.07;0.98
1.24;49.01;-0.16;-0.44;1.24;33.01;-0.01;1.19;1.24;29.97;0.09;0.64
1.26;48.68;-0.16;-0.32;1.26;33.02;0.02;1.1;1.26;30.16;0.1;0.74
1.28;48.36;-0.17;-0.43;1.28;33.07;0.03;0.66;1.28;30.36;0.12;0.98
1.3;48;-0.18;-0.43;1.3;33.14;0.04;0.41;1.3;30.64;0.14;0.64
1.32;47.64;-0.19;-0.44;1.32;33.24;0.05;0.73;1.32;30.91;0.15;0.63
1.34;47.24;-0.2;-0.32;1.34;33.32;0.07;1.32;1.34;31.22;0.16;0.86
1.36;46.85;-0.2;-0.32;1.36;33.53;0.1;0.76;1.36;31.56;0.18;0.76
1.38;46.43;-0.21;-0.33;1.38;33.72;0.1;0.53;1.38;31.94;0.19;0.54
1.4;46;-0.21;-0.21;1.4;33.94;0.12;0.76;1.4;32.33;0.2;0.53
1.42;45.58;-0.22;-0.32;1.42;34.2;0.13;0.64;1.42;32.74;0.21;0.65
1.44;45.13;-0.23;-0.34;1.44;34.47;0.15;0.76;1.44;33.19;0.23;0.54
1.46;44.66;-0.23;-0.11;1.46;34.78;0.16;0.65;1.46;33.65;0.24;0.54
1.48;44.2;-0.23;-0.11;1.48;35.12;0.17;0.42;1.48;34.13;0.25;0.55
1.5;43.74;-0.24;-0.11;1.5;35.46;0.18;0.64;1.5;34.65;0.26;0.21
1.52;43.25;-0.24;0.01;1.52;35.84;0.2;0.66;1.52;35.16;0.26;0.2
1.54;42.79;-0.24;-0.22;1.54;36.25;0.21;0.43;1.54;35.68;0.27;0.43
1.56;42.31;-0.25;-0.24;1.56;36.66;0.21;0.43;1.56;36.23;0.27;0.33
1.58;41.81;-0.25;0.1;1.58;37.11;0.22;0.43;1.58;36.78;0.28;0.22
1.6;41.33;-0.24;0.23;1.6;37.56;0.23;0.44;1.6;37.34;0.28;0.11
1.62;40.84;-0.24;0.01;1.62;38.04;0.24;0.33;1.62;37.91;0.28;0.1
1.64;40.38;-0.24;-0.13;1.64;38.52;0.24;0.21;1.64;38.48;0.29;0.22
1.66;39.88;-0.24;0.22;1.66;39.02;0.25;0.22;1.66;39.06;0.29;0.12
1.68;39.41;-0.23;0.22;1.68;39.51;0.25;0.11;1.68;39.65;0.29;-0.1
1.7;38.95;-0.23;0.1;1.7;40.03;0.25;-0.01;1.7;40.23;0.29;-0.22
1.72;38.48;-0.23;0.22;1.72;40.53;0.25;0.1;1.72;40.8;0.28;-0.11
1.74;38.04;-0.22;0.21;1.74;41.04;0.26;0.22;1.74;41.37;0.28;0.01
1.76;37.59;-0.22;0.32;1.76;41.56;0.26;0.12;1.76;41.93;0.28;-0.21
1.78;37.16;-0.21;0.33;1.78;42.09;0.26;-0.1;1.78;42.5;0.28;-0.33
1.8;36.74;-0.21;0.21;1.8;42.61;0.26;-0.21;1.8;43.03;0.27;-0.21
1.82;36.33;-0.2;0.32;1.82;43.12;0.25;-0.21;1.82;43.59;0.27;-0.33
1.84;35.93;-0.19;0.43;1.84;43.62;0.25;-0.21;1.84;44.1;0.26;-0.21
1.86;35.55;-0.19;0.43;1.86;44.12;0.25;-0.21;1.86;44.62;0.26;-0.19
1.88;35.19;-0.18;0.43;1.88;44.6;0.24;-0.31;1.88;45.14;0.25;-0.54
1.9;34.85;-0.17;0.43;1.9;45.09;0.23;-0.43;1.9;45.62;0.24;-0.54
1.92;34.52;-0.16;0.43;1.92;45.53;0.22;-0.43;1.92;46.08;0.23;-0.43
1.94;34.21;-0.15;0.54;1.94;45.98;0.22;-0.44;1.94;46.53;0.22;-0.42
1.96;33.91;-0.14;0.54;1.96;46.39;0.21;-0.31;1.96;46.96;0.21;-0.53
1.98;33.66;-0.13;0.44;1.98;46.81;0.2;-0.41;1.98;47.38;0.2;-0.64
2;33.4;-0.12;0.31;2;47.21;0.19;-0.65;2;47.76;0.19;-0.64
2.02;33.17;-0.12;0.63;2.02;47.57;0.18;-0.54;2.02;48.12;0.17;-0.64
2.04;32.93;-0.1;0.99;2.04;47.91;0.17;-0.52;2.04;48.45;0.16;-0.65
2.06;32.79;-0.08;0.43;2.06;48.24;0.16;-0.75;2.06;48.76;0.15;-0.55
2.08;32.62;-0.08;0.42;2.08;48.54;0.14;-0.76;2.08;49.03;0.14;-0.29
2.1;32.48;-0.06;0.65;2.1;48.8;0.13;-0.64;2.1;49.31;0.14;-0.73
2.12;32.38;-0.05;0.53;2.12;49.04;0.11;-0.75;2.12;49.58;0.11;-1.12
2.14;32.27;-0.04;0.75;2.14;49.25;0.1;-0.76;2.14;49.75;0.09;-0.42
2.16;32.22;-0.02;0.76;2.16;49.42;0.08;-0.64;2.16;49.94;0.09;-0.51
2.18;32.18;-0.01;0.54;2.18;49.58;0.07;-0.74;2.18;50.11;0.07;-0.99
2.2;32.18;-0.000402;0.43;2.2;49.7;0.05;-0.87;2.2;50.22;0.05;-0.64
2.22;32.18;0.01;0.41;2.22;49.79;0.04;-0.75;2.22;50.32;0.04;-0.64
2.24;32.21;0.02;0.74;2.24;49.84;0.02;-0.74;2.24;50.39;0.03;-0.74
2.26;32.24;0.04;1;2.26;49.88;0.01;-0.87;2.26;50.43;0.01;0.75
2.28;32.37;0.06;0.32;2.28;49.87;-0.01;-0.75;2.28;50.45;0.06;-0.58
2.3;32.47;0.05;0.3;2.3;49.83;-0.02;-0.74;2.3;50.65;-0.01;-3.3
2.32;32.57;0.07;0.86;2.32;49.77;-0.04;-0.86;2.32;50.42;-0.08;-0.73
2.34;32.74;0.09;0.76;2.34;49.67;-0.06;-0.87;2.34;50.35;-0.04;0.62
2.36;32.91;0.1;0.65;2.36;49.53;-0.08;-0.76;2.36;50.27;-0.05;-0.54
2.38;33.13;0.11;0.43;2.38;49.36;-0.09;-0.64;2.38;50.15;-0.06;-0.52
2.4;33.36;0.12;0.42;2.4;49.17;-0.1;-0.76;2.4;50.03;-0.07;-0.77
2.42;33.6;0.13;0.54;2.42;48.95;-0.12;-0.65;2.42;49.86;-0.09;-0.56
2.44;33.87;0.14;0.42;2.44;48.69;-0.13;-0.52;2.44;49.67;-0.09;-0.19
2.46;34.14;0.15;0.54;2.46;48.44;-0.14;-0.76;2.46;49.48;-0.1;-0.52
2.48;34.45;0.16;0.43;2.48;48.13;-0.16;-0.65;2.48;49.28;-0.12;-0.78
2.5;34.78;0.16;0.31;2.5;47.81;-0.17;-0.53;2.5;49.02;-0.13;-0.33
2.52;35.1;0.17;0.54;2.52;47.46;-0.18;-0.65;2.52;48.76;-0.13;-0.2
2.54;35.46;0.18;0.43;2.54;47.09;-0.19;-0.55;2.54;48.51;-0.14;-0.43
2.56;35.84;0.19;0.32;2.56;46.69;-0.2;-0.43;2.56;48.21;-0.15;-0.43
2.58;36.22;0.2;0.44;2.58;46.28;-0.21;-0.44;2.58;47.92;-0.15;-0.45
2.6;36.63;0.21;0.33;2.6;45.85;-0.22;-0.33;2.6;47.6;-0.16;-0.22
2.62;37.04;0.21;0.21;2.62;45.4;-0.22;-0.21;2.62;47.27;-0.16;-0.1
2.64;37.47;0.21;0.21;2.64;44.96;-0.23;-0.32;2.64;46.95;-0.17;-0.22
2.66;37.9;0.22;0.21;2.66;44.49;-0.24;-0.33;2.66;46.6;-0.17;-0.22
2.68;38.35;0.22;0.21;2.68;44.01;-0.24;-0.22;2.68;46.26;-0.18;-0.22
2.7;38.79;0.23;0.21;2.7;43.53;-0.25;-0.22;2.7;45.9;-0.18;-0.11
2.72;39.26;0.23;0.21;2.72;43.03;-0.25;-0.11;2.72;45.54;-0.18;-0.1
2.74;39.72;0.24;0.23;2.74;42.53;-0.25;0.01;2.74;45.17;-0.18;-0.22
2.76;40.2;0.24;-0.1;2.76;42.03;-0.25;-0.11;2.76;44.8;-0.19;-0.12
2.78;40.69;0.23;-0.24;2.78;41.53;-0.25;-0.13;2.78;44.42;-0.19;0.11
2.8;41.13;0.23;0.21;2.8;41.02;-0.25;0.22;2.8;44.04;-0.19;0.11
2.82;41.61;0.24;0.23;2.82;40.52;-0.25;0.23;2.82;43.68;-0.18;-0.01
2.84;42.09;0.24;-0.1;2.84;40.04;-0.25;-0.01;2.84;43.3;-0.19;0.11
2.86;42.58;0.24;-0.22;2.86;39.54;-0.25;0.21;2.86;42.94;-0.18;0.11
2.88;43.04;0.23;-0.11;2.88;39.05;-0.24;0.32;2.88;42.58;-0.18;-0.01
2.9;43.5;0.23;-0.1;2.9;38.59;-0.23;0.32;2.9;42.21;-0.18;0.1
2.92;43.97;0.23;-0.21;2.92;38.12;-0.22;0.44;2.92;41.85;-0.18;0.22
2.94;44.42;0.22;-0.21;2.94;37.69;-0.22;0.32;2.94;41.51;-0.17;0.21
2.96;44.86;0.22;-0.22;2.96;37.26;-0.21;0.32;2.96;41.16;-0.17;0.32
2.98;45.29;0.21;-0.11;2.98;36.85;-0.2;0.43;2.98;40.83;-0.16;0.34
3;45.72;0.22;-0.09;3;36.45;-0.19;0.53;3;40.52;-0.15;0.1
3.02;46.15;0.21;-0.31;3.02;36.07;-0.18;0.65;3.02;40.21;-0.16;0.21
3.04;46.57;0.2;-0.43;3.04;35.72;-0.17;0.65;3.04;39.9;-0.15;0.33
3.06;46.96;0.19;-0.43;3.06;35.4;-0.16;0.65;3.06;39.63;-0.14;0.21
3.08;47.34;0.19;-0.43;3.08;35.1;-0.14;0.53;3.08;39.33;-0.14;0.32
3.1;47.71;0.18;-0.43;3.1;34.83;-0.13;0.64;3.1;39.08;-0.13;0.44
3.12;48.05;0.17;-0.43;3.12;34.57;-0.12;0.76;3.12;38.82;-0.12;0.33
3.14;48.38;0.16;-0.43;3.14;34.36;-0.1;0.64;3.14;38.59;-0.12;0.2
3.16;48.69;0.15;-0.43;3.16;34.15;-0.09;0.75;3.16;38.35;-0.11;0.43
3.18;48.98;0.14;-0.42;3.18;33.99;-0.07;0.76;3.18;38.14;-0.1;0.44
3.2;49.26;0.13;-0.54;3.2;33.85;-0.06;0.53;3.2;37.95;-0.1;0.32
3.22;49.52;0.12;-0.54;3.22;33.75;-0.05;0.74;3.22;37.76;-0.09;0.44
3.24;49.74;0.11;-0.42;3.24;33.64;-0.03;1.09;3.24;37.61;-0.08;0.32
3.26;49.97;0.1;-0.53;3.26;33.63;-0.01;0.88;3.26;37.45;-0.07;0.32
3.28;50.16;0.09;-0.64;3.28;33.61;0;0.53;3.28;37.31;-0.06;0.44
3.3;50.33;0.08;-0.65;3.3;33.64;0.01;0.62;3.3;37.19;-0.06;0.32
3.32;50.47;0.07;-0.54;3.32;33.66;0.03;1.09;3.32;37.09;-0.05;0.32
3.34;50.59;0.06;-0.53;3.34;33.76;0.06;0.88;3.34;36.98;-0.04;0.43
3.36;50.7;0.04;-0.65;3.36;33.88;0.06;0.53;3.36;36.91;-0.03;0.43
3.38;50.77;0.03;-0.54;3.38;34.01;0.08;0.75;3.38;36.84;-0.03;0.44
3.4;50.82;0.02;-0.53;3.4;34.18;0.09;0.76;3.4;36.81;-0.02;0.22
3.42;50.86;0.01;-0.64;3.42;34.39;0.11;0.64;3.42;36.78;-0.02;0.2
3.44;50.86;0;-0.65;3.44;34.61;0.12;0.64;3.44;36.74;-0.01;0.44
3.46;50.85;-0.02;-0.65;3.46;34.87;0.13;0.64;3.46;36.74;-0.00023;0.33
3.48;50.8;-0.03;-0.54;3.48;35.14;0.15;0.64;3.48;36.74;0;0.21
3.5;50.73;-0.04;-0.52;3.5;35.45;0.16;0.65;3.5;36.76;0.01;0.32
3.52;50.65;-0.05;-0.76;3.52;35.77;0.17;0.54;3.52;36.77;0.02;0.44
3.54;50.53;-0.07;-0.66;3.54;36.14;0.18;0.42;3.54;36.82;0.03;0.22
3.56;50.37;-0.08;-0.42;3.56;36.49;0.19;0.54;3.56;36.87;0.03;0.1
3.58;50.22;-0.09;-0.54;3.58;36.89;0.2;0.55;3.58;36.92;0.03;0.32
3.6;50.03;-0.1;-0.54;3.6;37.3;0.21;0.32;3.6;36.99;0.04;0.33
3.62;49.83;-0.11;-0.54;3.62;37.73;0.21;0.32;3.62;37.08;0.04;0.11
3.64;49.61;-0.12;-0.55;3.64;38.16;0.22;0.44;3.64;37.16;0.04;0.1
3.66;49.35;-0.13;-0.42;3.66;38.62;0.23;0.33;3.66;37.25;0.05;0.22
3.68;49.09;-0.14;-0.55;3.68;39.09;0.24;0.22;3.68;37.35;0.05;0.11
3.7;48.8;-0.15;-0.44;3.7;39.57;0.24;0.11;3.7;37.46;0.05;0.1
3.72;48.49;-0.15;-0.31;3.72;40.05;0.24;0.11;3.72;37.56;0.06;0.21
3.74;48.18;-0.16;-0.54;3.74;40.53;0.24;0.11;3.74;37.68;0.06;0.22
3.76;47.84;-0.18;-0.55;3.76;41.03;0.24;-0.01;3.76;37.8;0.06;0.11
3.78;47.48;-0.18;-0.33;3.78;41.51;0.24;0.11;3.78;37.94;0.06;-0.01
3.8;47.1;-0.19;-0.21;3.8;42.01;0.25;0.01;3.8;38.06;0.06;0.11
3.82;46.72;-0.19;-0.32;3.82;42.51;0.25;-0.22;3.82;38.19;0.07;0.11
3.84;46.33;-0.2;-0.33;3.84;42.99;0.24;-0.11;3.84;38.33;0.07;0.01
3.86;45.92;-0.21;-0.21;3.86;43.47;0.24;-0.09;3.86;38.47;0.07;-0.11
3.88;45.51;-0.21;-0.33;3.88;43.95;0.24;-0.32;3.88;38.61;0.06;-0.01
3.9;45.08;-0.22;-0.23;3.9;44.42;0.23;-0.33;3.9;38.73;0.07;0.23
3.92;44.63;-0.22;0.01;3.92;44.86;0.22;-0.21;3.92;38.88;0.07;-0.11
3.94;44.2;-0.22;-0.21;3.94;45.31;0.22;-0.31;3.94;39.02;0.06;-0.12
3.96;43.75;-0.23;-0.34;3.96;45.74;0.21;-0.42;3.96;39.14;0.07;0.12
3.98;43.29;-0.23;-0.11;3.98;46.16;0.2;-0.54;3.98;39.3;0.07;-0.11
4;42.82;-0.23;-1.98E-13;4;46.55;0.19;-0.54;4;39.41;0.06;8.63E-05
4.02;42.36;-0.23;1.24E-13;4.02;46.91;0.18;-0.42;4.02;39.55;0.07;0.01
4.04;41.89;-0.23;-0.01;4.04;47.28;0.17;-0.54;4.04;39.69;0.06;-0.11
4.06;41.43;-0.23;0.11;4.06;47.61;0.16;-0.54;4.06;39.81;0.06;0.01
4.08;40.96;-0.23;0.11;4.08;47.92;0.15;-0.52;4.08;39.95;0.06;-0.22
4.1;40.52;-0.23;5.69E-14;4.1;48.21;0.14;-0.75;4.1;40.07;0.06;-0.12
4.12;40.05;-0.23;3.47E-14;4.12;48.47;0.12;-0.76;4.12;40.17;0.06;0.13
4.14;39.6;-0.23;-0.01;4.14;48.7;0.11;-0.64;4.14;40.31;0.06;-0.22
4.16;39.14;-0.23;0.21;4.16;48.9;0.1;-0.64;4.16;40.41;0.05;-0.12
4.18;38.69;-0.22;0.33;4.18;49.08;0.08;-0.64;4.18;40.52;0.06;0.12
4.2;38.26;-0.22;0.22;4.2;49.23;0.07;-0.74;4.2;40.64;0.06;-0.11
4.22;37.83;-0.21;0.22;4.22;49.36;0.05;-0.87;4.22;40.74;0.05;-0.11
4.24;37.42;-0.21;0.2;4.24;49.45;0.04;-0.75;4.24;40.84;0.05;0.01
4.26;37;-0.2;0.43;4.26;49.5;0.02;-0.74;4.26;40.95;0.05;-0.1
4.28;36.6;-0.19;0.44;4.28;49.54;0.01;-0.87;4.28;41.05;0.05;-0.23
4.3;36.24;-0.19;0.2;4.3;49.52;-0.01;-0.76;4.3;41.14;0.04;-0.01
4.32;35.86;-0.18;0.43;4.32;49.49;-0.02;-0.65;4.32;41.22;0.05;0.13
4.34;35.52;-0.17;0.44;4.34;49.42;-0.04;-0.63;4.34;41.33;0.05;-0.21
4.36;35.19;-0.16;0.2;4.36;49.34;-0.05;-0.86;4.36;41.41;0.04;-0.23
4.38;34.86;-0.16;0.42;4.38;49.22;-0.07;-0.88;4.38;41.48;0.04;0.11
4.4;34.55;-0.15;0.65;4.4;49.05;-0.09;-0.64;4.4;41.57;0.04;0.11
4.42;34.28;-0.13;0.54;4.42;48.88;-0.1;-0.76;4.42;41.65;0.04;0.01
4.44;34.02;-0.13;0.44;4.44;48.66;-0.12;-0.65;4.44;41.74;0.04;-0.11
4.46;33.77;-0.12;0.2;4.46;48.42;-0.12;-0.52;4.46;41.83;0.04;-0.11
4.48;33.55;-0.12;0.53;4.48;48.16;-0.14;-0.75;4.48;41.89;0.04;1.32E-14
4.5;33.31;-0.1;0.76;4.5;47.87;-0.15;-0.77;4.5;41.98;0.04;-8.33E-15
4.52;33.17;-0.09;0.52;4.52;47.55;-0.17;-0.55;4.52;42.05;0.04;8.33E-15
4.54;32.96;-0.07;0.89;4.54;47.2;-0.18;-0.32;4.54;42.14;0.04;4.3E-14
4.56;32.87;-0.05;0.33;4.56;46.84;-0.18;-0.31;4.56;42.2;0.04;-8.33E-15
4.58;32.75;-0.06;0.07;4.58;46.48;-0.19;-0.54;4.58;42.29;0.04;-0.01
4.6;32.63;-0.05;0.97;4.6;46.09;-0.2;-0.55;4.6;42.36;0.04;0.11
4.62;32.56;-0.02;0.99;4.62;45.68;-0.21;-0.43;4.62;42.44;0.04;0.01
4.64;32.54;-0.01;0.43;4.64;45.25;-0.22;-0.44;4.64;42.53;0.04;-0.12
4.66;32.53;0;0.43;4.66;44.8;-0.23;-0.33;4.66;42.6;0.04;0.11
4.68;32.52;0.01;0.43;4.68;44.34;-0.23;-0.22;4.68;42.69;0.04;0.11
4.7;32.56;0.01;0.4;4.7;43.87;-0.24;-0.22;4.7;42.77;0.04;-3.47E-14
4.72;32.57;0.02;0.97;4.72;43.39;-0.24;-0.11;4.72;42.86;0.04;-0.01
4.74;32.66;0.05;0.89;4.74;42.91;-0.24;-0.11;4.74;42.94;0.04;0.11
4.76;32.78;0.06;0.32;4.76;42.43;-0.25;-0.11;4.76;43.03;0.05;0.11
4.78;32.9;0.06;0.31;4.78;41.93;-0.25;-2.03E-13;4.78;43.13;0.05;-0.01
4.8;33.03;0.07;0.53;4.8;41.45;-0.25;-0.01;4.8;43.22;0.05;0.11
4.82;33.19;0.09;0.65;4.82;40.95;-0.25;0.11;4.82;43.32;0.05;0.01
4.84;33.38;0.1;0.54;4.84;40.47;-0.24;0.11;4.84;43.42;0.05;-0.12
4.86;33.58;0.11;0.42;4.86;39.98;-0.24;-0.01;4.86;43.51;0.05;0.11
4.88;33.8;0.12;0.53;4.88;39.5;-0.24;0.1;4.88;43.61;0.05;0.11
4.9;34.04;0.13;0.66;4.9;39.02;-0.24;0.32;4.9;43.72;0.05;-0.01
4.92;34.32;0.14;0.43;4.92;38.55;-0.23;0.44;4.92;43.82;0.05;0.11
4.94;34.61;0.15;0.32;4.94;38.1;-0.22;0.32;4.94;43.92;0.06;0.12
4.96;34.9;0.15;0.43;4.96;37.67;-0.22;0.32;4.96;44.04;0.06;-0.11
4.98;35.23;0.16;0.43;4.98;37.24;-0.21;0.43;4.98;44.15;0.05;-0.12
5;35.55;0.17;0.44;5;36.85;-0.2;0.43;5;44.25;0.05;0.11
5.02;35.91;0.18;0.32;5.02;36.45;-0.19;0.54;5.02;44.35;0.06;0.12
5.04;36.27;0.18;0.32;5.04;36.09;-0.18;0.54;5.04;44.47;0.06;-0.11
5.06;36.65;0.19;0.33;5.06;35.74;-0.17;0.53;5.06;44.58;0.05;7.02E-05
5.08;37.04;0.2;0.21;5.08;35.41;-0.16;0.65;5.08;44.68;0.06;0.01
5.1;37.44;0.2;0.32;5.1;35.12;-0.14;0.65;5.1;44.8;0.05;-0.23
5.12;37.85;0.21;0.33;5.12;34.84;-0.13;0.65;5.12;44.89;0.05;0.01
5.14;38.28;0.21;0.21;5.14;34.6;-0.12;0.65;5.14;44.99;0.05;-0.11
5.16;38.71;0.22;0.22;5.16;34.38;-0.1;0.64;5.16;45.09;0.04;-0.02
5.18;39.16;0.22;0.11;5.18;34.18;-0.09;0.75;5.18;45.16;0.05;0.36
5.2;39.6;0.22;-0.01;5.2;34.01;-0.07;0.88;5.2;45.3;0.06;-0.21
5.22;40.05;0.22;0.11;5.22;33.89;-0.06;0.53;5.22;45.39;0.04;-0.32
5.24;40.5;0.23;0.12;5.24;33.79;-0.05;0.62;5.24;45.47;0.04;-0.44
